run_id,pack,step,narration_txt,image_path,is_fallback,had_image
16982298773-1,product1,01,narration/01_intro.txt,images/01_fallback.jpg,False,True
16982298773-1,product1,02,narration/02_body.txt,images/02_fallback.jpg,False,True
