run_id,pack,input_yaml_found,cta_before,cta_after,changed,note
local_full,.keep,False,,,False,missing input.yaml
local_full,001_affiliate_coffee,True,Visit the link in the description to learn more and claim the current deal.,Visit the link in the description to learn more and claim the current deal.,False,cta present; no change
local_full,002_affiliate_blender,True,Visit the link in the description to learn more and claim the current deal.,Visit the link in the description to learn more and claim the current deal.,False,cta present; no change
local_full,003_affiliate_airfryer,True,Visit the link in the description to learn more and claim the current deal.,Visit the link in the description to learn more and claim the current deal.,False,cta present; no change
local_full,product1,True,Visit the link in the description to learn more and claim the current deal.,Visit the link in the description to learn more and claim the current deal.,False,cta present; no change
local_full,product2,True,Visit the link in the description to learn more and claim the current deal.,Visit the link in the description to learn more and claim the current deal.,False,cta present; no change
local_full,sample_pack,True,Visit the link in the description to learn more and claim the current deal.,Visit the link in the description to learn more and claim the current deal.,False,cta present; no change
